timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684772109087,2,Home,200,OK,Thread Group 1-1,text,true,,1497,253,5,5,http://localhost:8080/jpetstore/,1,0,0
1684772109087,1,Home-0,302,Found,Thread Group 1-1,,true,,146,126,5,5,http://localhost:8080/jpetstore,1,0,0
1684772109088,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,1,0,0
1684772109693,3,Home,200,OK,Thread Group 1-2,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,2,0,1
1684772109693,2,Home-0,302,Found,Thread Group 1-2,,true,,146,126,6,6,http://localhost:8080/jpetstore,2,0,1
1684772109695,1,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,1,0,0
1684772111096,2,Home,200,OK,Thread Group 1-6,text,true,,1497,253,10,10,http://localhost:8080/jpetstore/,1,0,1
1684772111096,1,Home-0,302,Found,Thread Group 1-6,,true,,146,126,10,10,http://localhost:8080/jpetstore,1,0,1
1684772111097,1,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,1,0,0
1684772111188,2,Home,200,OK,Thread Group 1-3,text,true,,1497,253,10,10,http://localhost:8080/jpetstore/,1,0,1
1684772111188,1,Home-0,302,Found,Thread Group 1-3,,true,,146,126,10,10,http://localhost:8080/jpetstore,1,0,1
1684772111189,1,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,1,0,0
1684772111493,4,Home,200,OK,Thread Group 1-4,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,2,0,1
1684772111493,2,Home-0,302,Found,Thread Group 1-4,,true,,146,126,11,11,http://localhost:8080/jpetstore,2,0,1
1684772111495,2,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,2,0,0
1684772111715,2,Home,200,OK,Thread Group 1-5,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,1,0,1
1684772111715,1,Home-0,302,Found,Thread Group 1-5,,true,,146,126,11,11,http://localhost:8080/jpetstore,1,0,1
1684772111716,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,1,0,0
1684772111913,3,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,399,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772112714,3,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,399,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772112750,3,Home,200,OK,Thread Group 1-7,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,2,0,1
1684772112750,2,Home-0,302,Found,Thread Group 1-7,,true,,146,126,14,14,http://localhost:8080/jpetstore,2,0,1
1684772112752,1,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,1,0,0
1684772113319,2,Home,200,OK,Thread Group 1-8,text,true,,1497,253,15,15,http://localhost:8080/jpetstore/,2,0,0
